municipio,nome,partido,foto,url_perfil
Bayeux,Cabo Rubem,PSB,http://sapl.bayeux.pb.leg.br/media/sapl/public/parlamentar/16/cabo_rubem.jpg,sem_perfil
Bayeux,Jays de Nita,PSB,http://sapl.bayeux.pb.leg.br/media/sapl/public/parlamentar/8/jays_1.png,sem_perfil
Bayeux,Josauro Pereira,MDB,http://sapl.bayeux.pb.leg.br/media/sapl/public/parlamentar/10/josauro.png,sem_perfil
Bayeux,Wagner do Grau,PSD,http://sapl.bayeux.pb.leg.br/media/sapl/public/parlamentar/17/wagner_do_grau.jpg,sem_perfil
Bayeux,França,PT,http://sapl.bayeux.pb.leg.br/media/sapl/public/parlamentar/4/franca.jpg,sem_perfil
Bayeux,Pastora Anunciada,PSB,http://sapl.bayeux.pb.leg.br/media/sapl/public/parlamentar/13/anunicada.png,sem_perfil
Bayeux,Adriano do Táxi,PSB,http://sapl.bayeux.pb.leg.br/media/sapl/public/parlamentar/19/adriano.png,sem_perfil
Bayeux,Iara Caetano,REPUBLICANOS,http://sapl.bayeux.pb.leg.br/media/sapl/public/parlamentar/5/iara_caetano.jpg,sem_perfil
Bayeux,Berguinho Impacto Som,PV,http://sapl.bayeux.pb.leg.br/media/sapl/public/parlamentar/12/berguinho_0fa14qu.png,sem_perfil
Bayeux,Nildo da Casa Branca,MOBILIZA,http://sapl.bayeux.pb.leg.br/media/sapl/public/parlamentar/6/nildo_da_casa_branca_LcKPzNd.png,sem_perfil
Bayeux,Eloah Felinto,MOBILIZA,http://sapl.bayeux.pb.leg.br/media/sapl/public/parlamentar/3/eloah.png,sem_perfil
Bayeux,Jefferson Oliveira,PSB,http://sapl.bayeux.pb.leg.br/media/sapl/public/parlamentar/9/jefferson.png,sem_perfil
Bayeux,Marcelo Bandeira Neto,PSB,http://sapl.bayeux.pb.leg.br/media/sapl/public/parlamentar/11/marcelo.jpg,sem_perfil
Bayeux,Nildo de Inácio,REPUBLICANOS,http://sapl.bayeux.pb.leg.br/media/sapl/public/parlamentar/7/nildo_de_inacio.jpg,sem_perfil
Bayeux,Gabriel Silva,PSB,http://sapl.bayeux.pb.leg.br/media/sapl/public/parlamentar/18/gabriel_silva.png,sem_perfil
Bayeux,Nôquinha,PDT,http://sapl.bayeux.pb.leg.br/media/sapl/public/parlamentar/14/noquinha.jpg,sem_perfil
Bayeux,Jarbas Coelho,REPUBLICANOS,http://sapl.bayeux.pb.leg.br/media/sapl/public/parlamentar/22/jarbas_ywgQPdC.png,sem_perfil
Campina Grande,Sargento Wellington Cobra,sem_partido,https://www.camaracg.pb.gov.br/wp-content/uploads/2025/02/img-sargentocobra-253x160.png,https://www.camaracg.pb.gov.br/sargento-wellington-cobra/
Campina Grande,Jô Oliveira,sem_partido,https://www.camaracg.pb.gov.br/wp-content/uploads/2025/01/img-jo25-252x160.png,https://www.camaracg.pb.gov.br/jo-oliveira/
Campina Grande,Saulo Noronha,sem_partido,https://www.camaracg.pb.gov.br/wp-content/uploads/2024/12/img-saulonoronha-252x160.png,https://www.camaracg.pb.gov.br/saulo-noronha/
Campina Grande,Saulo Germano,sem_partido,https://www.camaracg.pb.gov.br/wp-content/uploads/2025/01/img-saulogermano-1-252x160.png,https://www.camaracg.pb.gov.br/saulo-germano/
Campina Grande,Severino da Prestação,sem_partido,https://www.camaracg.pb.gov.br/wp-content/uploads/2024/12/img-severino-252x160.png,https://www.camaracg.pb.gov.br/severino-da-prestacao/
Campina Grande,Carol Gomes,sem_partido,https://www.camaracg.pb.gov.br/wp-content/uploads/2024/12/img-carol-252x160.png,https://www.camaracg.pb.gov.br/carol-gomes/
Campina Grande,Tertuliano Maracajá,sem_partido,https://www.camaracg.pb.gov.br/wp-content/uploads/2025/02/img-tertuliano-253x160.png,https://www.camaracg.pb.gov.br/tertuliano-maracaja/
